,F1,aps,context,expID,method,samples,system,thres,wo_length
177,1.0,1.0000000000000002,supervised,29,invite,32,bicycle,0.02763933250156383,3
178,0.9743589743589743,,unsupervised,29,invite,32,bicycle,0.030303030303030304,3
179,0.8888888888888888,,pathfinder,29,invite,32,bicycle,,3
180,0.6495726495726496,0.39461991899231313,supervised,30,cosine,32,drivetrain,0.7855171924378135,4
181,0.30996309963099633,,unsupervised,30,cosine,32,drivetrain,0.05277777777777777,4
182,0.6666666666666666,,pathfinder,30,cosine,32,drivetrain,,4
183,0.8791208791208791,0.9518442132349352,supervised,30,invite,32,drivetrain,0.020673428293852367,4
184,0.8433734939759037,,unsupervised,30,invite,32,drivetrain,0.03333333333333333,4
185,0.7777777777777778,,pathfinder,30,invite,32,drivetrain,,4
186,0.14002763703362503,0.05772634340409076,supervised,31,cosine,32,aircraft,0.05976143046671968,4
187,0.13764434180138568,,unsupervised,31,cosine,32,aircraft,0.05976931391512117,4
188,0.10706638115631692,,pathfinder,31,cosine,32,aircraft,,4
189,0.06553795740032768,0.05965753702946676,supervised,31,invite,32,aircraft,0.023306481721795815,4
190,0.06550218340611354,,unsupervised,31,invite,32,aircraft,0.011726305609284332,4
191,0.06951871657754011,,pathfinder,31,invite,32,aircraft,,4
192,0.7200000000000001,0.4326599125512169,supervised,32,cosine,32,bicycle,0.8787659381073162,4
193,0.5882352941176471,,unsupervised,32,cosine,32,bicycle,0.7474747474747475,4
194,1.0,,pathfinder,32,cosine,32,bicycle,,4
195,1.0,1.0000000000000002,supervised,32,invite,32,bicycle,0.24060214022044654,4
196,0.975609756097561,,unsupervised,32,invite,32,bicycle,0.030303030303030304,4
197,0.8888888888888888,,pathfinder,32,invite,32,bicycle,,4
198,0.5801526717557252,0.3534252398267833,supervised,33,cosine,32,drivetrain,0.839222021916476,5
199,0.3218390804597701,,unsupervised,33,cosine,32,drivetrain,0.08333333333333333,5
200,0.5555555555555556,,pathfinder,33,cosine,32,drivetrain,,5
201,0.9135802469135802,0.9471394121927526,supervised,33,invite,32,drivetrain,0.09148141119780663,5
202,0.8478260869565217,,unsupervised,33,invite,32,drivetrain,0.030555555555555555,5
